Gene	Change in mRNA level per year of age (Su et al. 2015)	Direction of change in mRNA level with advancing age (Su et al. 2015)	Change in protein level per year of age (Ubaida-Mohien et al. 2019)	Direction of change in protein level with advancing age (Ubaida-Mohien et al. 2019)	Number of DMRs annotated to the gene	Mean effect size of DMRs
PRPF19	0.00309139744683546	UP	0.001878576	UP	1	0.00525
LTBP2	0.0108835765875861	UP	0.007530804	UP	1	0.00398
CYFIP1	0.00630182406784518	UP	0.002464476	UP	1	0.00395
FAM49A	-0.00297010928178149	DOWN	-0.005563796	DOWN	2	0.00392
EPB41L3	0.0141094436516914	UP	0.005891329	UP	1	0.00376666666666667
ABLIM1	0.00712395398033789	UP	0.005258591	UP	1	0.00355
BRD3	0.00580145677010706	UP	0.006912141	UP	1	0.00326666666666667
PIGR	-0.00376581689820489	DOWN	-0.004305831	DOWN	1	0.0032
SNCG	-0.00567438741427309	DOWN	0.007358384	UP	1	0.00310526315789474
CRADD	-0.00481639401572055	DOWN	-0.001992165	DOWN	3	0.00263333333333333
SSRP1	0.00355952587613518	UP	0.002321715	UP	1	0.00188571428571429
CTNNA1	0.00520888381574844	UP	0.002061171	UP	3	0.00161880952380952
TJP2	0.00700965753791662	UP	0.002430497	UP	2	0.0016125
HTT	0.00306033947672043	UP	0.002278607	UP	3	0.000778333333333332
SRSF5	0.00635743198416143	UP	0.003305653	UP	2	0.000175
LYVE1	0.0199759472917386	UP	0.013095966	UP	2	-0.000169444444444445
SLC16A3	-0.0133121727503651	DOWN	-0.004092952	DOWN	2	-0.000192545454545455
ADH1B	0.00812106508626955	UP	0.011688589	UP	1	-0.00025
LUC7L2	0.00344339369982837	UP	0.002230792	UP	1	-0.000325
NUP85	0.00401612117611684	UP	0.004904741	UP	2	-0.000405555555555555
STAT5A	0.00432566974897237	UP	0.004848794	UP	3	-0.00191555555555556
SON	0.00283041623510309	UP	0.002449684	UP	1	-0.00193333333333333
TRMT112	0.0115631887896833	UP	0.001833847	UP	1	-0.00194444444444444
FHIT	-0.00712030883256378	DOWN	-0.002693128	DOWN	1	-0.002125
IL18	0.00205507209518274	UP	-0.005412802	DOWN	1	-0.0023
CES2	-0.00659009297230979	DOWN	-0.004448597	DOWN	1	-0.0023
MAPRE3	-0.00469826857694746	DOWN	-0.001942724	DOWN	1	-0.0023
SORBS2	0.00485714894703279	UP	0.006990772	UP	1	-0.00235
AHNAK	0.00864401400896167	UP	0.004724144	UP	2	-0.00240833333333333
GANAB	-0.00640653428226188	DOWN	0.000773779	UP	1	-0.00241818181818182
EIF3B	0.00595349858187244	UP	0.000784832	UP	1	-0.0025
SNRPA	0.00407078312415969	UP	0.002655644	UP	1	-0.00256666666666667
SFPQ	0.00431677412324037	UP	0.002170163	UP	1	-0.003
PACSIN3	0.00628838162758156	UP	0.003003882	UP	2	-0.00302083333333333
SF3B2	0.00325489064171928	UP	0.002092131	UP	1	-0.00321666666666667
SNRNP70	0.00492510549960666	UP	0.001842427	UP	1	-0.0033
PDHX	-0.00706683526687255	DOWN	-0.001406783	DOWN	1	-0.00346666666666667
CYB5R3	0.00757181882746013	UP	0.001859238	UP	2	-0.00362142857142857
NOL3	-0.00979741336456843	DOWN	-0.001910139	DOWN	1	-0.00372
KDM3B	0.00563328012257215	UP	0.002967783	UP	2	-0.0037875
GLUL	0.0110791366221417	UP	0.006435115	UP	1	-0.003825
ACTG1	0.0101523154850066	UP	0.005083654	UP	1	-0.0039
PTGES2	-0.00468367427509089	DOWN	-0.001630954	DOWN	1	-0.004
CACNG1	0.00386961284822988	UP	0.004349705	UP	2	-0.00400138888888889
PACSIN2	0.00600310533100702	UP	0.001282069	UP	1	-0.00407142857142857
RPA1	0.00645261423563414	UP	0.002737911	UP	6	-0.00420833333333333
COQ9	-0.00678821703819874	DOWN	-0.00148085	DOWN	1	-0.004225
THYN1	0.00804805402722376	UP	0.004255629	UP	1	-0.00435714285714286
GRHPR	-0.00348349980384179	DOWN	-0.001170586	DOWN	1	-0.00445
NXN	0.00616627187563458	UP	0.001145305	UP	6	-0.00449722222222222
H6PD	0.00363483370280998	UP	0.001144417	UP	1	-0.0047
HNRNPM	0.00809869192087493	UP	0.003362972	UP	1	-0.00495
SZRD1	-0.00210691174825241	DOWN	-0.001526252	DOWN	1	-0.005
CIRBP	0.00911113238735861	UP	0.002784683	UP	4	-0.00502
ABLIM2	0.00986836832779344	UP	0.00229483	UP	12	-0.00516246031746031
PCBP2	-0.00327386805297535	DOWN	0.001030119	UP	1	-0.0052
DUSP13	-0.00422868285137913	DOWN	-0.002917996	DOWN	2	-0.00537142857142858
LAMP1	0.00737391301237219	UP	0.004182491	UP	2	-0.005484375
NUP98	0.00318701876528038	UP	0.002357178	UP	1	-0.00588888888888889
PFKFB2	0.00367368388389797	UP	0.003834767	UP	3	-0.00596025641025641
UPF2	0.00482503899267168	UP	0.002607995	UP	1	-0.0061
ILF3	0.00210720874594461	UP	0.002024867	UP	1	-0.0061
GOT1	-0.0116136672301872	DOWN	-0.002787962	DOWN	1	-0.00623333333333333
FUBP1	0.00315291449397806	UP	0.003446678	UP	1	-0.0063
ECHDC2	0.00504322742203024	UP	0.002125842	UP	2	-0.00648333333333333
ATP5C1	-0.00640368765308928	DOWN	-0.002516677	DOWN	1	-0.0066
ADI1	0.0130740385284298	UP	0.005389472	UP	1	-0.00705
GLG1	0.00451327097177777	UP	0.003657324	UP	1	-0.0074
PPP6R2	0.00282838435468266	UP	0.002349084	UP	1	-0.00786666666666667
MDH1	-0.00472714593062581	DOWN	-0.002234005	DOWN	1	-0.00876666666666667
NDUFAF5	-0.00734465625702966	DOWN	-0.002330359	DOWN	1	-0.01175
