Gene	Change in mRNA level per year of age (Su et al. 2015)	Direction of change in mRNA level with advancing age (Su et al. 2015)	Change in protein level per year of age (Ubaida-Mohien et al. 2019)	Direction of change in protein level with advancing age (Ubaida-Mohien et al. 2019)	Number of DMRs annotated to the gene
ABLIM2	0.00986836832779344	UP	0.00229483	UP	9
NXN	0.00616627187563458	UP	0.001145305	UP	6
CIRBP	0.00911113238735861	UP	0.002784683	UP	4
RPA1	0.00645261423563414	UP	0.002737911	UP	4
PFKFB2	0.00367368388389797	UP	0.003834767	UP	3
CTNNA1	0.00520888381574844	UP	0.002061171	UP	3
AHNAK	0.00864401400896167	UP	0.004724144	UP	2
LAMP1	0.00737391301237219	UP	0.004182491	UP	2
CYB5R3	0.00757181882746013	UP	0.001859238	UP	2
KDM3B	0.00563328012257215	UP	0.002967783	UP	2
STAT5A	0.00432566974897237	UP	0.004848794	UP	2
SRSF5	0.00635743198416143	UP	0.003305653	UP	2
CRADD	-0.00481639401572055	DOWN	-0.001992165	DOWN	2
LYVE1	0.0199759472917386	UP	0.013095966	UP	2
NUP85	0.00401612117611684	UP	0.004904741	UP	2
CACNG1	0.00386961284822988	UP	0.004349705	UP	2
ECHDC2	0.00504322742203024	UP	0.002125842	UP	2
DUSP13	-0.00422868285137913	DOWN	-0.002917996	DOWN	2
FUBP1	0.00315291449397806	UP	0.003446678	UP	1
ADI1	0.0130740385284298	UP	0.005389472	UP	1
PACSIN2	0.00600310533100702	UP	0.001282069	UP	1
BRD3	0.00580145677010706	UP	0.006912141	UP	1
SLC16A3	-0.0133121727503651	DOWN	-0.004092952	DOWN	1
SFPQ	0.00431677412324037	UP	0.002170163	UP	1
HNRNPM	0.00809869192087493	UP	0.003362972	UP	1
SNCG	-0.00567438741427309	DOWN	0.007358384	UP	1
GANAB	-0.00640653428226188	DOWN	0.000773779	UP	1
NOL3	-0.00979741336456843	DOWN	-0.001910139	DOWN	1
GOT1	-0.0116136672301872	DOWN	-0.002787962	DOWN	1
IL18	0.00205507209518274	UP	-0.005412802	DOWN	1
CES2	-0.00659009297230979	DOWN	-0.004448597	DOWN	1
FHIT	-0.00712030883256378	DOWN	-0.002693128	DOWN	1
HTT	0.00306033947672043	UP	0.002278607	UP	1
COQ9	-0.00678821703819874	DOWN	-0.00148085	DOWN	1
FAM49A	-0.00297010928178149	DOWN	-0.005563796	DOWN	1
PACSIN3	0.00628838162758156	UP	0.003003882	UP	1
UPF2	0.00482503899267168	UP	0.002607995	UP	1
NDUFAF5	-0.00734465625702966	DOWN	-0.002330359	DOWN	1
PTGES2	-0.00468367427509089	DOWN	-0.001630954	DOWN	1
NUP98	0.00318701876528038	UP	0.002357178	UP	1
ATP5C1	-0.00640368765308928	DOWN	-0.002516677	DOWN	1
SRSF7	0.00459926297993364	UP	0.003250087	UP	1
LTBP2	0.0108835765875861	UP	0.007530804	UP	1
ADH1B	0.00812106508626955	UP	0.011688589	UP	1
SF3B2	0.00325489064171928	UP	0.002092131	UP	1
LRRC47	0.00642518402659947	UP	0.002050619	UP	1
TJP2	0.00700965753791662	UP	0.002430497	UP	1
GLG1	0.00451327097177777	UP	0.003657324	UP	1
PCBP2	-0.00327386805297535	DOWN	0.001030119	UP	1
MDH1	-0.00472714593062581	DOWN	-0.002234005	DOWN	1
ILF3	0.00210720874594461	UP	0.002024867	UP	1
MAPRE3	-0.00469826857694746	DOWN	-0.001942724	DOWN	1
BCS1L	-0.00687390484425112	DOWN	-0.0015196	DOWN	1
NENF	0.00263248509890452	UP	0.00208948	UP	1
SZRD1	-0.00210691174825241	DOWN	-0.001526252	DOWN	1
GLUL	0.0110791366221417	UP	0.006435115	UP	1
SNRPA	0.00407078312415969	UP	0.002655644	UP	1
