Chromosome	Position start (hg38)	Position end (hg38)	Length of DMR (base pairs)	Number of CpGs in DMR	CpG island position	Chromatin state in male skeletal muscle	Chromatin state in female skeletal muscle	Annotated gene(s)	Maximum effect size in DMR	Mean effect size in DMR	Stouffer score	Harmonic mean of the individual component FDRs	Fisher multiple comparison statistic
chr1	228211275	228218714	7440	29	Shore;Island	Transcr. at gene 5' and 3';Genic enhancers	Flanking Active TSS;Transcr. at gene 5' and 3';Active TSS;Genic enhancers	C1orf145;OBSCN	-0.019	-0.00616896551724138	6.15744725819841e-171	2.39185715817438e-37	7.40194728619752e-274
chr1	207817549	207819202	1654	13	Open sea	Transcr. at gene 5' and 3'	Transcr. at gene 5' and 3'	C1orf132	-0.0338	-0.0149923076923077	2.08970984282455e-232	1.02491811893947e-42	1.03895620232399e-254
chr19	3960983	3962195	1213	14	Island;Shore	Genic enhancers	Strong transcription;Genic enhancers	DAPK3	-0.0198	-0.0115142857142857	6.57938959431998e-257	1.45126766998873e-27	3.33933767644444e-253
chr2	178531157	178532785	1629	11	Open sea	Genic enhancers;Strong transcription	Genic enhancers;Strong transcription	TTN;TTN-AS1	-0.0221	-0.0138272727272727	6.30872391696511e-190	4.61664034387883e-37	3.34613888050714e-199
chr3	47846187	47850788	4602	21	Shore;Island	Strong transcription;Genic enhancers	Strong transcription;Genic enhancers	DHX30;MIR1226;MAP4	-0.0126	-0.00632380952380952	9.42951698947611e-167	7.47490379999995e-40	3.17323282536553e-193
chr19	1395229	1397780	2552	9	Shore;Shelf	Genic enhancers;Transcr. at gene 5' and 3';Flanking Active TSS	Enhancers;Flanking Active TSS	AC005329.7	-0.0266	-0.0110666666666667	4.23907773814409e-176	3.5592975e-61	3.63904636367855e-187
chr22	17785202	17785482	281	5	Island	Weak Repressed PolyComb;Enhancers	Weak transcription;Enhancers	LINC00528	-0.0184	-0.01408	5.59414022021947e-140	4.10730565381444e-56	5.45372510532743e-177
chr1	228277094	228280922	3829	17	Shore;Island	Genic enhancers;Strong transcription	Genic enhancers	OBSCN	-0.0145	-0.00705882352941176	1.91858104147458e-143	1.64394683794483e-27	2.01047681054712e-174
chr16	73091673	73093562	1890	10	Open sea	Enhancers;NA;Active TSS;Flanking Active TSS	Flanking Active TSS;NA;Active TSS	HCCAT5	-0.0228	-0.01205	1.70024037156946e-136	3.78310799990423e-39	3.57071448843214e-156
chr19	1387198	1388932	1735	10	Shore;Island	Genic enhancers;Transcr. at gene 5' and 3'	Genic enhancers;Enhancers	LLNLR-307A6.1;NDUFS7	-0.0163	-0.00923	7.02558579749133e-111	4.70882812606579e-28	8.83171064696951e-128
chr3	12814377	12815362	986	7	Shore;Island	Genic enhancers	Genic enhancers		-0.0217	-0.013	5.03484608413446e-113	2.67243985125921e-29	9.51369540319404e-125
